rp(A),fof_Na,fof_Cl,(fof_Na+fof_Cl)/2,fof_Ow
12,0.903,0.903,0.903,0.846
12.1,0.903,0.903,0.903,0.846
12.2,0.903,0.903,0.903,0.843
12.3,0.892,0.892,0.892,0.835
12.4,0.881,0.892,0.886,0.83
12.5,0.881,0.892,0.886,0.83
12.6,0.881,0.892,0.886,0.828
12.7,0.881,0.892,0.886,0.823
12.8,0.881,0.892,0.886,0.815
12.9,0.881,0.881,0.881,0.808
13,0.87,0.881,0.876,0.804
13.1,0.87,0.881,0.876,0.797
13.2,0.87,0.881,0.876,0.792
13.3,0.87,0.892,0.881,0.787
13.4,0.87,0.881,0.876,0.784
13.5,0.87,0.881,0.876,0.786
13.6,0.87,0.87,0.87,0.777
13.7,0.87,0.87,0.87,0.78
13.8,0.87,0.87,0.87,0.777
13.9,0.859,0.87,0.865,0.772
14,0.849,0.849,0.849,0.77
14.1,0.838,0.849,0.843,0.765
14.2,0.838,0.849,0.843,0.758
14.3,0.838,0.838,0.838,0.754
14.4,0.838,0.849,0.843,0.755
14.5,0.827,0.849,0.838,0.75
14.6,0.827,0.838,0.832,0.744
14.7,0.827,0.838,0.832,0.734
14.8,0.827,0.827,0.827,0.731
14.9,0.816,0.827,0.822,0.726
15,0.816,0.827,0.822,0.727
15.1,0.816,0.816,0.816,0.722
15.2,0.816,0.827,0.822,0.718
15.3,0.816,0.827,0.822,0.711
15.4,0.805,0.816,0.811,0.706
15.5,0.805,0.816,0.811,0.707
15.6,0.805,0.816,0.811,0.703
15.7,0.805,0.816,0.811,0.705
15.8,0.805,0.816,0.811,0.7
15.9,0.805,0.816,0.811,0.697
16,0.805,0.816,0.811,0.693
16.1,0.795,0.805,0.8,0.684
16.2,0.795,0.805,0.8,0.683
16.3,0.795,0.805,0.8,0.68
16.4,0.795,0.805,0.8,0.679
16.5,0.795,0.805,0.8,0.676
16.6,0.784,0.795,0.789,0.671
16.7,0.784,0.795,0.789,0.666
16.8,0.773,0.784,0.778,0.665
16.9,0.773,0.784,0.778,0.656
17,0.773,0.773,0.773,0.65
17.1,0.773,0.773,0.773,0.647
17.2,0.773,0.773,0.773,0.641
17.3,0.773,0.773,0.773,0.641
17.4,0.773,0.773,0.773,0.635
17.5,0.773,0.773,0.773,0.628
17.6,0.773,0.773,0.773,0.625
17.7,0.773,0.773,0.773,0.622
17.8,0.773,0.773,0.773,0.62
17.9,0.773,0.773,0.773,0.616
18,0.773,0.784,0.778,0.614
18.1,0.773,0.784,0.778,0.609
18.2,0.762,0.773,0.768,0.6
18.3,0.762,0.773,0.768,0.594
18.4,0.762,0.773,0.768,0.585
18.5,0.762,0.773,0.768,0.585
18.6,0.762,0.762,0.762,0.581
18.7,0.751,0.762,0.757,0.572
18.8,0.751,0.762,0.757,0.571
18.9,0.751,0.762,0.757,0.566
