rp(A),fof_Na,fof_Cl,(fof_Na+fof_Cl)/2,fof_Ow
0,1,1,1,1
0.1,1,1,1,1
0.2,1,1,1,1
0.3,1,1,1,1
0.4,1,1,1,1
0.5,1,1,1,1
0.6,1,1,1,1
0.7,1,1,1,1
0.8,1,1,1,1
0.9,1,1,1,1
1,1,1,1,1
1.1,1,1,1,1
1.2,1,1,1,1
1.3,1,1,1,1
1.4,1,1,1,1
1.5,1,1,1,1
1.6,1,1,1,1
1.7,1,1,1,1
1.8,1,1,1,1
1.9,1,1,1,1
2,1,1,1,1
2.1,1,1,1,1
2.2,1,1,1,1
2.3,1,1,1,1
2.4,1,1,1,1
2.5,1,1,1,1
2.6,1,1,1,1
2.7,1,1,1,1
2.8,1,1,1,1
2.9,1,1,1,1
3,1,1,1,1
3.1,1,1,1,1
3.2,1,1,1,1
3.3,1,1,1,1
3.4,1,1,1,1
3.5,1,1,1,1
3.6,1,1,1,1
3.7,1,1,1,1
3.8,1,1,1,1
3.9,1,1,1,1
4,1,1,1,1
4.1,1,1,1,1
4.2,1,1,1,1
4.3,1,1,1,1
4.4,1,1,1,1
4.5,1,1,1,1
4.6,1,1,1,1
4.7,1,1,1,1
4.8,1,1,1,1
4.9,1,1,1,1
5,1,1,1,1
5.1,1,1,1,1
5.2,1,1,1,1
5.3,1,1,1,1
5.4,1,1,1,1
5.5,1,1,1,1
5.6,1,1,1,1
5.7,1,1,1,1
5.8,1,1,1,1
5.9,1,1,1,1
6,1,1,1,1
6.1,1,1,1,1
6.2,1,1,1,1
6.3,1,1,1,1
6.4,1,1,1,1
6.5,1,1,1,1
6.6,1,1,1,1
6.7,1,1,1,1
6.8,1,1,1,1
6.9,1,1,1,1
7,1,1,1,1
7.1,1,1,1,1
7.2,1,1,1,1
7.3,1,1,1,1
7.4,1,1,1,1
7.5,1,1,1,1
7.6,1,1,1,1
7.7,1,1,1,1
7.8,1,1,1,1
7.9,1,1,1,1
8,1,1,1,1
8.1,1,1,1,1
8.2,1,1,1,1
8.3,1,1,1,1
8.4,1,1,1,1
8.5,1,1,1,1
8.6,1,1,1,0.999
8.7,1,1,1,0.999
8.8,1,1,1,0.999
8.9,1,1,1,1
9,1,1,1,0.999
9.1,1,1,1,1
9.2,1,1,1,1
9.3,1,1,1,1
9.4,1,1,1,0.999
9.5,1,1,1,0.999
9.6,1,1,1,0.999
9.7,1,1,1,0.999
9.8,1,1,1,0.997
9.9,1,1,1,1
10,1,1,1,0.991
10.1,0.989,0.978,0.984,0.981
10.2,0.968,0.968,0.968,0.967
10.3,0.957,0.968,0.962,0.956
10.4,0.957,0.957,0.957,0.941
10.5,0.946,0.946,0.946,0.932
10.6,0.935,0.946,0.941,0.919
10.7,0.924,0.924,0.924,0.906
10.8,0.924,0.924,0.924,0.896
10.9,0.924,0.914,0.919,0.894
11,0.924,0.924,0.924,0.894
11.1,0.924,0.924,0.924,0.894
11.2,0.914,0.924,0.919,0.887
11.3,0.914,0.924,0.919,0.883
11.4,0.914,0.914,0.914,0.876
11.5,0.914,0.914,0.914,0.869
11.6,0.903,0.914,0.908,0.862
11.7,0.903,0.914,0.908,0.857
11.8,0.903,0.903,0.903,0.852
11.9,0.903,0.903,0.903,0.849
